Location,URL,overall,Yelp,Google,Lat,Lng,Cost,Hunger,Tortilla,Temp,Uniformity,Synergy,Wrap
California Burritos,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.5,4.4,33.4841601,-117.142935,5.5,4.5,5,4,4,4.5,4
Chipotle,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,2.75,3,4.2,33.1297433,-117.2668654,7.15,4,2.5,2.5,3.5,3,3.5
El Portal Fresh Mexican Grill,https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,3.75,4,4.4,32.8175541,-117.1806305,6.7,3.75,3.5,4,4,3.5,4.5
Los Primos Mexican Food,http://www.primosmex.com/,2,4,3.7,33.0367532,-117.2796615,6.35,4.5,4,4,2,2,3
Matador Mexican Food,https://www.yelp.com/biz/matador-mexican-grill-san-diego-1,3,4,4,32.7653159,-117.1963665,6.6,3.2,1.4,3.7,2.4,2.9,3
Nico's Taco Shop,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3,4,2.9,32.939395,-117.231774,6.99,4,2.5,3,3.5,2.5,3
Oscar's Mexican food,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3,4,3.3,33.1452281,-117.2003865,4.85,1.5,3,2,4,3,5
Rigoberto's Taco Shop,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4,4.4,32.8791407,-117.1673854,7.5,4,4,5,4,4,4
Roberto's Very Mexican Food,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,2.7,4,3.9,32.9342398,-117.2551306,5.4,3,2,3.5,1.5,3,5
Rudy's Taco Shop,http://www.rudystacoshop.com/,3,4,4.3,32.9903956,-117.2605899,6.6,3,3,2.5,1,3,5
Taco Villa,https://www.yelp.com/biz/taco-villa-san-diego,4,4,3.5,32.8799731,-117.237084,5.99,2.5,3.2,3.8,2,3.5,5
Lourdes,https://www.yelp.com/biz/lourdes-encinitas-1,3.75,4,4.7,33.0209368,-117.2821532,7.35,3.5,3.5,3,4.5,4,5
