,Location,Burrito,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Lat,Lng
0,Albertacos,California ,"500 W San Marcos Blvd # 103,San Marcos",https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,0,5.7,3.5,3.5,3.0,3.0,4.0,1.5,4.0,4.0,4.0,4.0,3.7,Scott,0,33.1395266,-117.1721626
2,"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,"nan,nan",0,0.0,0.0,0,4.59,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.8,Chuck K,0,33.0367532,-117.2796615
3,Burrito Box,Steak with guacamole,"nan,nan",0,0.0,0.0,0,11.5,3.5,2.0,2.0,4.0,3.5,3.0,4.5,3.5,4.0,2.0,3.5,Scott,Maybe a little better than chipotle. Or at least more authentic.,32.9497632,-117.246375
4,Burrito Factory,Steak everything ,"2025 Guadalupe St,Austin",https://www.yelp.com/biz/burrito-factory-austin,4.5,4.8,0,7.35,3.5,3.2,3.0,3.5,3.5,3.0,3.3,3.0,3.8,2.0,3.5,Scott,0,32.7038841,-117.1454696
5,Burros and Fries,California,"4705 Clairemont Dr,Clairemont",http://www.burrosandfries.com/,3.5,4.1,0,6.89,4.0,3.5,4.5,3.5,3.5,3.0,1.5,2.5,3.5,5.0,3.5,Scott,good fries,32.8297288,-117.20505659999999
9,Caliente Mexican Food,carne asada ,"11815 Sorrento Valley Rd,Sorrento Valley",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,0,5.56,2.5,2.5,3.0,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,Scott,0,32.9161974,-117.23672350000001
13,California Burrito Company,Fajitas ,"nan,nan",0,0.0,0.0,0,6.5,3.0,3.0,4.5,3.5,1.5,1.5,2.0,3.2,2.0,4.5,2.2,Scott,Peppers not cooked enough,32.8788215,-117.1668915
18,California Burritos,California (only cheese),"nan,nan",0,0.0,0.0,0,6.25,2.0,5.0,5.0,5.0,4.0,4.0,2.0,0.0,5.0,5.0,5.0,Kalen,0,32.793464,-117.1560493
41,California burritos,California everything,"nan,nan",0,0.0,0.0,0,6.5,4.0,4.0,3.5,4.5,4.0,3.5,4.5,4.0,4.0,4.5,4.0,Ricardo,0,33.0209368,-117.28215320000001
47,Cancun Mexican & Seafood,Adobada,"nan,nan",0,0.0,0.0,0,6.45,3.0,4.0,5.0,3.5,3.0,3.5,3.5,4.0,2.5,4.0,3.5,Scott,Free salad,29.70652,-95.48340999999999
53,Carmen's Mexican Food,Adobada,"4937 Diane Ave,Clairemont",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4.0,4.2,0,6.5,3.5,2.5,4.0,3.5,4.0,4.0,3.0,1.5,3.5,5.0,3.6,Scott,really good guac,32.8352268,-117.1868331
55,Chili Peppers,Surf & Turf,"nan,nan",0,0.0,0.0,0,9.43,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Chris H,0,33.0367532,-117.2796615
56,Chipotle,Custom,"nan,nan",0,0.0,0.0,0,7.0,3.5,3.0,0.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Gurkirat S,0,32.8815966,-117.24100559999998
58,Colima's ,Colimas burrito,"nan,nan",0,0.0,0.0,x,8.25,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.5,4.9,Brian,0,33.0367532,-117.2796615
59,Colima's Mexican Food,Bandido,"nan,nan",0,0.0,0.0,0,6.49,4.5,3.0,5.0,4.0,4.0,5.0,4.0,2.5,4.5,4.0,4.0,Sage,0,32.748619,-117.1398718
62,Cortez Mexican Food,California ,"5517 Mission Rd,Bonsall",https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4.0,0,6.25,4.0,3.5,4.0,2.5,3.0,1.5,2.5,2.5,2.8,5.0,3.2,Scott ,0,33.290914,-117.22595190000001
63,Cotixan,California,"nan,nan",0,0.0,0.0,0,6.9,4.3,3.0,3.0,3.5,3.5,3.5,3.5,3.8,4.0,5.0,3.7,Scott,0,32.7472185,-117.161355
65,Don Carlos Taco Shop,California,"737 Pearl St,La Jolla",https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4.0,4.5,0,7.75,5.0,3.5,4.2,3.3,3.7,4.0,4.0,2.9,3.0,5.0,3.7,Scott ,0,32.8396989,-117.2752812
67,Donato's Taco Shop,Al pastor ,"nan,nan",0,0.0,0.0,0,5.99,4.0,3.0,4.5,3.7,2.8,5.0,4.5,3.0,2.3,4.5,3.0,Scott,0,33.0440809,-117.293903
69,Donato's taco shop,California ,"6780 Miramar Rd,Miramar",http://donatostacoshop.net/,3.5,4.2,0,6.49,3.0,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,3.8,Scott,good fries: 4/5,32.8788572,-117.16893600000002
70,El Cuervo,California ,"110 Washington St,Hillcrest",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4.0,4.3,0,6.95,3.5,3.5,3.5,3.0,4.0,3.0,3.0,4.5,3.5,2.0,3.6,Scott,Alfajores dessert and horchata are super good,32.7500492,-117.1636872
72,El Dorado Mexican Food,California,"29000 Old Town Front St,Temecula",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4.0,0,6.94,4.0,4.0,4.0,4.0,4.5,3.2,3.0,4.5,4.5,2.0,4.5,Scott,Salsa verde has an interesting hint of garlic,33.484160100000004,-117.14293500000001
76,El Indio,California,"3695 India St,San Diego",http://elindiosandiego.com/,3.5,3.9,0,7.84,4.0,4.0,4.0,3.5,4.0,4.5,4.0,3.5,3.5,4.5,4.0,Scott,0,32.742325199999996,-117.180125
77,El Nopalito ,Especial ,"582 Santa Fe Dr,Encinitas",https://www.yelp.com/biz/el-nopalito-encinitas,4.0,4.0,x,4.87,2.0,3.0,4.0,1.5,2.0,3.0,5.0,3.0,2.5,5.0,2.6,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",33.0367532,-117.2796615
