Location,Burrito,URL,overall,Yelp,Google,Lat,Lng,Cost,Hunger,Tortilla,Temp,Uniformity,Synergy,Wrap
Albertacos,california,https://www.yelp.com/biz/albertacos-san-marcos,3.7,3.5,3.9,33.1395266,-117.1721626,5.7,3.5,3.5,3,4,4,4
Burros and Fries,california,http://www.burrosandfries.com/,3.5,3.5,4.1,32.8297288,-117.2050566,6.89,4,3.5,4.5,1.5,3.5,5
Caliente Mexican Food,california,https://www.yelp.com/biz/caliente-mexican-food-san-diego,2,3.5,4.4,32.9161974,-117.2367235,6.47,4,1,2,3,2,3
California Burrito Company,california,https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,3.5,4.4,32.8788215,-117.1668915,5.5,2,3,5,2,4.5,4
Cancun Mexican & Seafood,california,http://cancunmexicanandseafood.com/,4,4.5,4.1,29.70652,-95.48341,6.99,4,3,4.5,3,4,5
Cortez Mexican Food,california,https://www.yelp.com/biz/cortez-mexican-food-bonsall,3.2,4.2,4,33.290914,-117.2259519,6.25,4,3.5,4,2.5,2.8,5
Cotixan,california,https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,3.5,4,4,32.8229419,-117.184444,7.19,4.5,4,2,2,4,4
Don Carlos Taco Shop,california,https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,2.9,,,32.8396989,-117.2752812,7.75,2.5,4,4,4,4,4
El Cuervo,california,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,3.6,4,4.3,32.7500492,-117.1636872,6.95,3.5,3.5,3.5,3,3.5,2
El Dorado Mexican Food,california,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4.5,4,33.4841601,-117.142935,6.94,4,4,4,3,4.5,2
El Indio,california,http://elindiosandiego.com/,4,3.5,3.9,32.7423252,-117.180125,7.84,4,4,4,4,3.5,4.5
El Pueblo Mexican Food,california,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4.3,4,4.7,32.7976795,-117.1532999,4.99,4,4.5,4.5,5,4.5,5
El Zarape,california,https://www.yelp.com/biz/el-zarape-san-diego,3,4,4.4,32.8175541,-117.1806305,6.25,3,4,4,3,3,5
Filiberto's,california,https://www.yelp.com/biz/filibertos-encinitas-2,4,3,3.8,33.046304,-117.2941326,6.25,3,4.5,4.5,3.5,4,4.5
Gloria's Taco Shop,california,https://www.yelp.com/biz/glorias-taco-shop-san-diego,2.7,4,4.3,32.7186247,-117.1336562,5.65,3,4,1.5,4,2,4.5
Jorge's Mexicatessen,california,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,3.8,4,4.5,37.3689053,-122.0347776,5.95,3.5,2.5,2.5,4.5,4.5,4.5
Jose's Taco,california,https://www.yelp.com/biz/joses-taco-oceanside,3.3,4,3.8,33.184526,-117.2934667,6.1,4,3.5,3.5,3.5,3.5,4
Juanita's Taco Shop,california,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,3.5,4,4.5,33.054223,-117.2969337,5.55,3.5,4,4.5,3,3,5
Karina's Taco Shop ,california,https://www.yelp.com/biz/karinas-taco-shop-encinitas,3.8,4,4.2,33.0647964,-117.3026313,6.99,2.5,3.5,4,1,4,4.5
King Burrito,california,https://www.yelp.com/biz/king-burrito-oceanside-2,2.5,4,3.9,33.1788465,-117.2947296,5.29,3.5,2.5,4.5,1.5,2,4.5
Kotija Jr,california,https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,3.7,4,4.2,32.9497632,-117.246375,6.99,4,4,5,2.5,4,5
La Morena Taco Shop and Seafood,california,https://www.yelp.com/biz/la-morena-taco-shop-san-diego,3,4,4.7,32.7211059,-117.0863535,6.35,4,4,2.5,2,3,4
