Location,Burrito,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Lat,Lng
Donato's taco shop,California ,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3,3,5,3,3.5,4,4,4,4,4,3.8,Scott,good fries: 4/5,32.8788572,-117.168936
Oscar's Mexican food,California ,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,Scott,Fries: 3/5; too little meat,33.1452281,-117.2003865
Oscar's Mexican food,Carnitas,,,,,,,4.85,1.5,3,2,2.5,3,4.5,4,3,3,5,3,Emily,,33.1452281,-117.2003865
Oscar's Mexican food,Carne asada,,,,,,,5.25,2,3,2,3.5,3,4,5,4,4,5,3.75,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,33.1452281,-117.2003865
Pollos Maria,California,Carlsbad,3055 Harding St,http://pollosmaria.com/,4,3.8,x,6.59,4,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,Scott,,33.1612269,-117.3443176
Pollos Maria,combo chicken,,,,,,,6.99,4,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,Emily,,33.1612269,-117.3443176
Nico's Taco Shop,California,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3,2.9,,7.19,1.5,2,3,3,2,2.5,2.5,,2,3,2.6,Scott,not fries. big potatoes,32.939395,-117.231774
Nico's Taco Shop,Carnitas,,,,,,,6.99,4,2.5,3,3,2.5,3,3.5,,2.5,3,3,Emily,,32.939395,-117.231774
Los Primos Mexican Food,Monster California,UTC,7770 Regents Rd,http://www.primosmex.com/,3,3.7,x,9.25,3.5,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,Scott,this tasted really bad leftover. not included in rating,32.8628174,-117.2243624
JV's Mexican Food,Carne Asada,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4,4.1,,6.25,3.5,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,Scott,,32.7686218,-117.2003367
JV's Mexican Food,Surf & Turf,,,,,,,9.5,2,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,Emily,Huge. Shrimp is good. Meat is normal,32.7686218,-117.2003367
